matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
773,9506,202506,0.283675,0.69463,10.9153,11.6559,15.0288,10.1509
772,9506,202161,0.282818,0.548119,10.9173,10.5896,11.9865,10.1191
771,9506,202159,0.282209,0.44115,10.9675,11.5598,12.2915,10.1367
770,9506,202157,0.283817,0.442602,10.9226,14.0877,12.5071,10.1359
769,9506,202157,0.284013,0.491909,10.967,11.1137,14.1618,10.1351
768,9506,202157,0.287066,0.491332,10.9672,11.2728,12.2022,10.1362
767,9506,202157,0.28362,0.501045,10.9652,10.9428,12.3633,10.1377
766,9506,202157,0.284335,0.506543,10.923,11.1201,12.5325,10.1324
765,9506,367280,0.451338,0.621689,16.3121,9.01368,9.23443,9.8543
376,9540,112095,0.197722,0.335111,1.60029,2.06066,2.61959,0.6849
887,9604,47434,0.0769137,0.139971,0.629373,1.64501,2.04462,0.3106
1433,9669,38530,0.0682196,0.140044,0.740307,1.84861,2.26355,0.4246
1432,9669,38530,0.0724787,0.115437,0.741267,1.78666,2.2526,0.4259
2351,9735,26612,0.0746801,0.905149,0.101376,0.0605856,0.0520224,0.0359
1560,9769,55757,0.0972356,0.307319,0.0236352,0.0406368,0.037072,0.0235
2540,9774,415289,0.51946,1.07174,0.234246,0.537219,0.526842,0.1378
1917,9801,48413,0.0787252,0.130737,0.870426,1.91644,2.03367,0.313
1916,9801,48413,0.0793495,0.149678,0.875968,1.60296,2.13524,0.3142
889,9801,48413,0.0780608,0.126406,0.871562,1.61369,2.07206,0.3142
888,9801,48413,0.0788528,0.137635,0.877853,1.75957,2.22249,0.3131
1559,9941,45721,0.0740623,0.369505,0.017584,0.0281248,0.0293824,0.0354
1612,10000,29900,0.0676381,0.11505,0.454048,0.940042,1.58607,0.2045
1425,10001,39996,0.0672965,0.111101,10.2121,12.5736,14.8394,8.0199
1245,10262,37214,0.0747731,0.239381,0.376403,0.653779,0.578246,0.1176
1561,10471,60378,0.0986777,0.315451,0.0270784,0.042912,0.0406496,0.0314
1347,10581,390741,0.466647,0.713385,0.0563552,0.211142,0.120938,0.0621
1409,10605,77592,0.131774,0.243678,2.30894,2.49705,2.61315,1.3856
1408,10605,313099,0.367339,0.601127,2.24169,1.09958,1.38291,1.3835
1406,10605,77592,0.129297,0.439315,2.30802,2.48919,2.59267,1.3866
1405,10605,313099,0.372106,0.599695,2.15085,1.09544,1.36561,1.3834
1472,10617,46635,0.151878,0.250103,0.149949,0.0926368,0.101274,0.0458
741,10672,219765,0.261371,0.490789,0.243402,0.299075,0.1876,0.0925
740,10672,219765,0.258626,0.622198,0.242979,0.304371,0.18831,0.0917
1563,10728,47864,0.0894618,0.300613,0.0222176,0.0413856,0.0387104,0.0146
2221,10798,313606,0.397469,0.61575,0.210989,0.569126,0.255072,0.1472
361,10848,620313,0.780942,1.53756,2.67747,1.45954,0.647379,0.8689
969,10938,122472,0.208956,0.334854,0.946656,0.70617,0.366387,0.2733
743,10964,220679,0.277149,0.450048,0.238253,0.342173,0.220048,0.0871
742,10964,220679,0.262198,0.512791,0.240339,0.328467,0.219024,0.0869
39,10974,219812,0.301189,0.475804,2.18664,3.20537,2.01841,1.4465
843,11107,11107,0.0460629,0.11198,0.0077504,0.0216768,0.023136,0.0125
842,11107,195017,0.262704,0.422912,1.9417,3.87606,2.85962,1.2971
1562,11125,67400,0.104813,0.181964,0.0219968,0.0309824,0.0304,0.0481
2352,11305,29724,0.0829682,0.399541,0.111414,0.0616896,0.0569376,0.0368
1183,11341,54944,0.183162,0.286221,0.292832,0.161734,0.168854,0.0639
911,11397,81021,0.149269,0.434208,0.18544,0.14191,0.147664,0.0605
1447,11445,93781,0.138945,0.311327,2.14574,3.02016,3.65999,0.904
1205,11445,93781,0.135866,0.22623,2.04789,3.08949,4.81352,0.9039
1204,11445,93781,0.135505,0.389281,2.058,3.19585,3.69725,0.9041
921,11532,258598,0.278807,0.454588,0.0342176,0.040528,0.0713664,0.0379
918,11532,28628,0.0609757,0.483821,0.022432,0.0267168,0.0369632,0.0166
2348,11685,30074,0.0784485,0.227179,0.116144,0.0619264,0.0538624,0.0411
1436,11730,221560,0.279746,0.464724,2.36233,5.24956,5.10464,1.8398
550,11790,71658,0.1232,0.208508,0.384742,0.325984,0.307194,0.1029
549,11790,71658,0.119919,0.212493,0.388262,0.347248,0.310989,0.1038
40,11948,80519,0.194304,0.360665,1.06741,0.830352,0.668259,0.313
1303,11999,53988,0.0831125,0.320367,42.416,18.9527,20.3017,10.1122
415,12005,135942,0.189547,0.386353,2.22568,3.00527,1.84135,1.0353
1242,12111,45537,0.0816659,0.160904,0.0822784,0.0671456,0.0723936,0.0311
372,12127,28306,0.0683452,0.127321,0.0969792,0.0879808,0.0742432,0.0272
379,12328,177578,0.273586,0.46282,0.917251,1.68628,0.992762,0.2831
930,12504,443698,0.56839,0.826404,0.831933,1.69858,1.62038,0.2195
1248,12546,78338,0.113629,0.179502,0.657802,0.859354,1.08298,0.2307
1247,12546,78338,0.114453,0.385089,0.648781,0.869453,0.993795,0.2307
1250,12992,33917,0.062438,0.484327,0.0194304,0.024512,0.02856,0.0177
1564,13206,93829,0.135792,0.246324,0.0243264,0.0349952,0.0368608,0.0488
2343,13250,33455,0.0880515,0.208721,0.121418,0.0670048,0.0572448,0.0444
2340,13250,33455,0.087496,0.153808,0.122736,0.0659936,0.0569344,0.0443
2342,13251,33457,0.0871464,0.277529,0.120595,0.0664768,0.060208,0.045
2339,13251,33457,0.0895429,0.16283,0.12025,0.0682656,0.0598016,0.0452
2353,13275,33630,0.089144,0.173806,0.124214,0.0660032,0.0623584,0.0445
2346,13296,33547,0.0908676,0.17074,0.122042,0.0658592,0.0571392,0.0443
2341,13309,33578,0.08767,0.287628,0.121373,0.0671392,0.0625664,0.0449
461,13436,68821,0.108931,0.196336,0.0403584,0.0331712,0.041264,0.019
927,13514,183138,0.307712,0.647488,0.412659,0.842538,0.582253,0.1277
445,13535,202071,0.266145,0.437977,0.643651,0.788291,0.694064,0.2477
1912,13681,345098,0.443762,0.621132,2.81303,5.51878,3.72091,1.7346
571,13694,64365,0.102601,0.384132,2.24047,3.47748,2.1632,1.0206
570,13694,64365,0.103013,0.346104,2.24301,3.51257,2.27297,1.0197
453,13935,45027,0.080937,0.315186,0.0347552,0.0290592,0.0378912,0.0205
354,13965,168435,0.20594,0.446775,0.632454,0.950982,0.910029,0.2222
351,13965,491274,0.592596,0.982934,2.37086,2.62611,1.34902,0.7639
811,14000,933552,1.20435,1.51631,1.89464,5.80377,14.3298,0.6746
2242,14098,238270,0.252567,0.395142,0.694061,0.373078,1.01069,0.1958
