m,nnzs,lvls,max_rl_cnt,max_cl_cnt,min_cl_cnt,min_rl_cnt,max_nnz_pl_rw,max_nnz_pl_cw,max_rl,max_cl,mean_rl,max_rpl,median_rpl,median_rl,median_cl,mean_nnz_pl_rw,std_rpl,std_nnz_pl_rw,std_rl,std_cl,mean_rpl,mean_max_cl_pl,mean_mean_cl_pl,mean_std_cl_pl,mean_max_rl_pl,mean_std_rl_pl,mean_mean_rl_pl,mean_min_rl_pl,mean_median_rl_pl,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree,winner,CPU winner,GPU winner,2nd,3rd,4th,5th,6th
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0385386,0.0446561,0.068704,0.0554752,0.0517088,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0374521,0.0470545,0.0685024,0.0553888,0.0519168,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0403104,0.0478652,0.0685056,0.055552,0.0518176,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0399811,0.0469821,0.0683104,0.0553056,0.0516064,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0378187,0.0423348,0.0687264,0.0555776,0.0513984,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0386715,0.0437976,0.0687232,0.055536,0.0514048,0.0197,6,1,7,1,2,5,4,3
1813,5576,14,1,1,32,795,1310,2495,1310,15,3.075565,795,27.5,2,3,398.285706,213.208069,402.740875,30.829681,1.246871,129.5,6.571429,2.730205,0.929397,108.214287,4.112783,98.852097,95.785713,97.25,0.0392085,0.0491793,0.0692352,0.0556224,0.0514976,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.041425,0.0451774,0.0688384,0.0560384,0.0538592,0.0195,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0387021,0.0433016,0.0682208,0.0553632,0.0518176,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.040376,0.0475061,0.0686784,0.056032,0.051712,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0427673,0.0473689,0.0687328,0.0556416,0.0516064,0.0198,6,1,7,1,2,5,4,3
