MKL(seq) Ana,MKL(par) Ana,cuSPARSE(v1) iluAna,cuSPARSE(v2)iluAna,Sync-Free ilu Ana,MKL(seq) ilu,MKL(par) ilu,cuSPARSE(v1) ilu,cuSPARSE(v2)iu,Sync-Free ilu,cuSPARSE(v1) ana,cusparse(v2)ana,Sync-Free ana,MKL(seq) 10 iter,MKL(par) 10 iter,cuSPARSE(v1)  10 iter,cuSPARSE(v2)lvl,cuSPARSE(v2)nolvl  10 iter,Sync-Free  10 iter,FE_ilu,m,FE_oh_wo,Emp_oh_wo,FE_oh_w,Emp_oh_w,SycnFree_LU
1.02889,1.11976,0,0.159712,0,0.921645,0.965521,0.150528,0.081888,0,2.74,0.081888,0.008,0.296066,0.316807,0.27264,0.251424,0.257024,0.144,0.00029184,1220,0.002157056,0.006964009,0.002448896,0.009243303,0.031
1.18858,0.988366,0,0.171008,0,0.974676,1.08689,0.150528,0.084992,0,2.74294,0.084992,0.0062,0.317457,0.319321,0.270112,0.250208,0.261088,0.136,0.000293888,1220,0.002156032,0.006536968,0.00244992,0.009005062,0.031
1.11226,1.09299,0,0.164832,0,1.39119,1.12008,0.148448,0.083968,0,2.69869,0.083968,0.0083,0.303576,0.345054,0.26608,0.250016,0.259008,0.146,0.000299008,1220,0.002148544,0.006537638,0.002447552,0.009446156,0.032
1.2132,0.91406,0,0.157696,0,1.17338,0.952517,0.14848,0.080896,0,2.73466,0.080896,0.0061,0.302514,0.322101,0.266208,0.253952,0.26208,0.134,0.00030208,1220,0.002198368,0.006567761,0.002500448,0.00908073,0.031
1.11804,0.858394,0,0.15872,0,1.284,1.13808,0.149504,0.08192,0,2.7305,0.08192,0.0062,0.304043,0.381916,0.267648,0.252384,0.261088,0.133,0.000280608,1220,0.002158592,0.006545959,0.0024392,0.009358183,0.03
1.43918,1.13164,0,0.176128,0,1.10798,1.13748,0.149536,0.082944,0,2.73501,0.082944,0.0082,0.296793,0.310702,0.267328,0.254368,0.263168,0.145,0.00031232,1220,0.002148032,0.006339947,0.002460352,0.008994015,0.031
1.58311,1.17588,0,0.162784,0,1.04529,1.20984,0.151552,0.083968,0,2.73434,0.083968,0.006,0.317321,0.359029,0.271264,0.260704,0.262144,0.134,0.000306176,1220,0.002178048,0.00699959,0.002484224,0.009653024,0.032
1.2497,0.888151,0,0.159744,0,1.02816,1.04576,0.14848,0.083936,0,2.71014,0.083936,0.0061,0.307014,0.306959,0.270528,0.2528,0.260064,0.135,0.000297984,1220,0.002162144,0.007091531,0.002460128,0.009557611,0.031
1.03406,0.901858,0,0.15872,0,1.15964,1.27103,0.14848,0.08192,0,2.72336,0.08192,0.0062,0.303321,0.328079,0.26752,0.254848,0.26112,0.135,0.000290816,1220,0.00214384,0.006499219,0.002434656,0.009319009,0.033
1.32837,0.901658,0,0.166912,0,1.06218,1.0968,0.150496,0.083968,0,2.74176,0.083968,0.0061,0.298676,0.324408,0.270336,0.2688,0.260096,0.134,0.000300032,1220,0.002188032,0.006324062,0.002488064,0.008884418,0.031
1.03475,1.08973,0,0.159744,0,1.00411,1.21463,0.150528,0.083968,0,2.72826,0.083968,0.0061,0.278406,0.329439,0.2704,0.25584,0.26112,0.133,0.000293856,1220,0.002159488,0.006576561,0.002453344,0.009189541,0.03
1.23747,1.15341,0,0.161792,0,1.03485,1.3164,0.14848,0.084992,0,2.71862,0.084992,0.008,0.316327,0.339436,0.265248,0.251168,0.262112,0.145,0.000306176,1220,0.002154656,0.006515383,0.002460832,0.009261897,0.032
1.2665,1.15562,0,0.164896,0,0.972477,1.41769,0.14848,0.084992,0,2.72806,0.084992,0.0061,0.310908,0.343609,0.267648,0.251776,0.257984,0.135,0.000293888,1220,0.002151904,0.006776957,0.002445792,0.009565492,0.031
1.03221,0.928119,0,0.161792,0,1.05014,1.03526,0.150528,0.08192,0,2.73747,0.08192,0.0061,0.276014,0.330961,0.270176,0.254368,0.256928,0.133,0.000300032,1220,0.002149536,0.006769057,0.002449568,0.009248697,0.032
1.12275,1.00737,0,0.15872,0,1.21333,1.29779,0.151552,0.084992,0,2.74675,0.084992,0.0063,0.291496,0.32982,0.273728,0.25136,0.262112,0.135,0.0003072,1220,0.002136064,0.006341887,0.002443264,0.009248271,0.031
1.12246,1.13026,0,0.164864,0,1.0632,1.15921,0.150528,0.084992,0,2.73498,0.084992,0.0062,0.313919,0.364042,0.270496,0.253632,0.263136,0.135,0.00029184,1220,0.002204704,0.006556517,0.002496544,0.009179311,0.031
1.2574,1.03517,0,0.159712,0,1.10765,1.37224,0.146432,0.082944,0,2.71718,0.082944,0.0063,0.316418,0.331543,0.270464,0.261888,0.262144,0.134,0.000300032,1220,0.002226208,0.006635601,0.00252624,0.009504579,0.032
1.27784,1.09444,0,0.159776,0,1.06915,1.22328,0.16384,0.083968,0,2.72906,0.083968,0.0065,0.285109,0.327756,0.271328,0.255456,0.260096,0.138,0.000295968,1220,0.002141376,0.006649843,0.002437344,0.009349857,0.031
1.29123,0.835836,0,0.166912,0,1.1786,1.17637,0.149504,0.082944,0,2.73011,0.082944,0.0062,0.320887,0.328341,0.271552,0.269792,0.260096,0.134,0.00029184,1220,0.00215056,0.006776202,0.0024424,0.009530532,0.031
1.20183,0.982378,0,0.159744,0,1.12263,1.16142,0.149504,0.084992,0,2.7416,0.084992,0.0062,0.29214,0.319175,0.27456,0.256352,0.265152,0.133,0.000299008,1220,0.002213216,0.006500237,0.002512224,0.009178527,0.031
1.28032,1.06494,0,0.162816,0,1.15491,1.18003,0.150496,0.083968,0,2.73229,0.083968,0.0062,0.307593,0.335575,0.269792,0.27712,0.270304,0.134,0.0003072,1220,0.00213216,0.00660105,0.00243936,0.00933327,0.03
1.04685,0.953187,0,0.16384,0,1.12108,1.11097,0.14848,0.086016,0,2.76509,0.086016,0.0061,0.31497,0.317524,0.271008,0.261376,0.270336,0.134,0.00029696,1220,0.002167232,0.00677168,0.002464192,0.009402066,0.032
1.3914,0.861673,0,0.160768,0,1.22417,0.986708,0.14848,0.082944,0,2.69763,0.082944,0.0061,0.324101,0.310433,0.268864,0.251872,0.261024,0.136,0.000282624,1220,0.002133216,0.006339005,0.00241584,0.008942075,0.032
1.28842,1.04918,0,0.159744,0,1.1654,1.14733,0.149504,0.080896,0,2.75482,0.080896,0.0061,0.326679,0.312448,0.270752,0.254816,0.26112,0.133,0.000297984,1220,0.002127872,0.006653704,0.002425856,0.009356578,0.031
1.2752,0.978023,0,0.160768,0,1.14033,1.04754,0.149472,0.083968,0,2.73059,0.083968,0.0062,0.31495,0.30423,0.27312,0.25216,0.258048,0.134,0.000297984,1220,0.0021864,0.006694866,0.002484384,0.009276944,0.032
1.21079,1.11321,0,0.160768,0,1.05966,1.1035,0.150528,0.080896,0,2.7408,0.080896,0.0062,0.30511,0.350593,0.268,0.253408,0.262144,0.134,0.000301056,1220,0.00210864,0.006654374,0.002409696,0.009209726,0.032
1.19432,1.00579,0,0.262144,0,1.23763,1.28175,0.61952,0.218112,0,3.62384,0.218112,0.0061,0.328262,0.384754,0.918016,1.00381,0.828416,0.615,0.00051712,1224,0.013750432,0.01025031,0.014267552,0.013869466,0.052
1.21692,1.17944,0,0.530432,0,4.66642,4.71685,29.7636,1.59027,0,13.0888,1.59027,0.0061,0.620964,0.847326,6.35389,4.95837,4.55782,5.095,0.002203648,1224,0.121391616,0.03931865,0.123595264,0.080586222,0.313
1.30268,1.06318,0,0.533472,0,4.70688,4.66418,29.7656,1.59949,0,13.1644,1.59949,0.0061,0.622071,0.81953,6.35168,4.95664,4.55066,5.094,0.00216576,1224,0.111642148,0.039560931,0.113807908,0.080830553,0.316
1.25536,0.959177,0,0.275456,0,1.00162,1.14088,0.325632,0.243712,0,3.17635,0.243712,0.0083,0.322414,0.319832,0.760224,0.976192,1.01277,0.553,0.000571392,1250,0.012533472,0.009738654,0.013104864,0.012725954,0.034
1.25311,1.03569,0,0.273408,0,1.24085,1.25436,0.32768,0.242688,0,3.17818,0.242688,0.006,0.274324,0.344414,0.763616,0.972416,1.01888,0.542,0.000565216,1250,0.012801632,0.009557055,0.013366848,0.012896041,0.034
1.21569,1.03765,0,0.195584,0,1.19152,1.28356,0.835584,0.124928,0,2.43293,0.124928,0.006,0.299327,0.296632,0.571168,0.387776,0.424928,0.206,0.000379904,1258,0.00457568,0.007038489,0.004955584,0.010669665,0.029
1.15877,1.11123,0,0.37072,0,2.08759,2.19943,3.75603,0.477184,0,7.59382,0.477184,0.0062,0.472717,0.561514,2.46138,2.76355,2.02038,1.684,0.000901152,1282,0.037146623,0.020294085,0.038047775,0.029185039,0.177
1.2489,1.048,0,0.378912,0,2.2713,2.58872,5.9095,0.653312,0,6.14454,0.653312,0.0061,0.440347,0.521416,3.3375,1.99754,2.03875,1.358,0.001072128,1348,0.032121312,0.018767505,0.03319344,0.030569249,0.127
1.33951,1.00677,0,0.15872,0,1.0999,1.35966,0.105472,0.040928,0,3.11136,0.040928,0.0062,0.324446,0.355651,0.280288,0.253728,0.253952,0.144,0.00024576,1357,0.002283328,0.007067453,0.002529088,0.009832133,0.051
1.17232,1.00719,0,0.158688,0,1.09207,1.18789,0.111616,0.047104,0,2.9593,0.047104,0.0062,0.313377,0.344496,0.268768,0.242048,0.254944,0.147,0.00024576,1374,0.002305632,0.006929517,0.002551392,0.009526885,0.044
1.34221,1.01877,0,0.509952,0,3.81637,3.74606,22.8823,1.62406,0,11.3705,1.62406,0.0061,0.535059,0.687825,6.83642,4.95488,4.19741,4.951,0.002170848,1409,0.112272833,0.037342764,0.114443681,0.069921506,0.25
1.29937,1.00565,0,0.316416,0,2.8359,2.91712,18.2979,0.591872,0,5.97069,0.591872,0.0065,0.368057,0.420848,3.41187,1.8343,1.4152,2.219,0.000963584,1434,0.048662721,0.018599317,0.049626305,0.043558525,0.11
1.38699,1.00773,0,0.25088,0,6.64267,6.734,4.3776,0.229376,0,9.70538,0.229376,0.0062,0.564537,0.736162,1.71267,1.01386,0.787392,0.672,0.000528384,1440,0.015676544,0.017732597,0.016204928,0.035967123,0.269
1.22628,1.07311,0,0.36048,0,1.53417,1.47488,2.8672,0.439296,0,6.18979,0.439296,0.0062,0.43007,0.444186,2.61485,2.13008,1.73062,1.384,0.00083456,1473,0.032321249,0.017763812,0.033155809,0.024439838,0.122
1.39577,1.00521,0,0.11776,0,1.049,1.15714,0.03584,0.02048,0,0.8904,0.02048,0.0061,0.284399,0.310379,0.073952,0.148064,0.149536,0.094,0.000182272,1473,0.000873664,0.0042767,0.001055936,0.00665692,0.005
1.26819,1.17832,0,0.36864,0,2.43299,2.58993,5.66272,0.621568,0,8.45994,0.621568,0.0062,0.507581,0.621042,3.07517,3.14698,2.1177,2.177,0.00103936,1473,0.047847423,0.023134161,0.048886783,0.034810009,0.209
1.23128,0.889924,0,0.373792,0,2.38903,2.42836,5.66272,0.6216,0,8.46422,0.6216,0.0066,0.473525,0.589408,3.0711,3.13837,2.11558,2.182,0.001041408,1473,0.047801311,0.023108913,0.048842719,0.034584415,0.211
1.30798,1.22551,0,0.197632,0,3.16147,3.1737,0.770048,0.204768,0,5.17978,0.204768,0.0083,0.408608,0.460024,0.651104,0.407616,0.357344,0.247,0.000451584,1477,0.004355936,0.010045748,0.00480752,0.017553366,0.12
